ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,Brick masonry residential,MUR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84399339,-171.7580738,6 Tier/Reese 2011,"using ""logit"" link function",Model 1; DL0 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Brick%20masonry%20residential_South%20Pacific%20Tsunami%202009_M1.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,1,
Yes,Timber,W/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84432674,-171.7494907,7 Tier/Reese 2011,"using ""logit"" link function",Model 1; DL2 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Timber_South%20Pacific%20Tsunami%202009_M1.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,2,
Yes,"Reinforced Concrete, 1 storey, residential",CR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.8468773,-171.743871,8 Tier/Reese 2011,"using ""logit"" link function","Model 1; DL1, DL2, DL3+DL4+DL5",https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Reinforced%20Concrete%2C%201%20storey%2C%20residential_South%20Pacific%20Tsunami%202009_M1.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,3,
Yes,Brick masonry residential,MUR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84299339,-171.7580738,6 Tier/Reese 2011,"using ""probit"" link function",Model 2; DL0 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Brick%20masonry%20residential_South%20Pacific%20Tsunami%202009_M2.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,1,
Yes,Timber,W/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84332674,-171.7494907,7 Tier/Reese 2011,"using ""probit"" link function",Model 2; DL2 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Timber_South%20Pacific%20Tsunami%202009_M2.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,2,
Yes,"Reinforced Concrete, 1 storey, residential",CR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.8458773,-171.743871,8 Tier/Reese 2011,"using ""probit"" link function","Model 2; DL1, DL2, DL3+DL4+DL5",https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Reinforced%20Concrete%2C%201%20storey%2C%20residential_South%20Pacific%20Tsunami%202009_M2.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,3,
Yes,Brick masonry residential,MUR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84199339,-171.7580738,6 Tier/Reese 2011,"using ""cloglog"" link function",Model 3; DL0 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Brick%20masonry%20residential_South%20Pacific%20Tsunami%202009_M3.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,1,
Yes,Timber,W/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.84232674,-171.7494907,7 Tier/Reese 2011,"using ""cloglog"" link function",Model 3; DL2 to DL5,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Timber_South%20Pacific%20Tsunami%202009_M3.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,2,
Yes,"Reinforced Concrete, 1 storey, residential",CR/HAPP:1+HFAPP:/RES,South Pacific Tsunami 2009,-13.8448773,-171.743871,8 Tier/Reese 2011,"using ""cloglog"" link function","Model 3; DL1, DL2, DL3+DL4+DL5",https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Reinforced%20Concrete%2C%201%20storey%2C%20residential_South%20Pacific%20Tsunami%202009_M3.csv,https://doi.org/10.1016/j.earscirev.2011.01.009,3,
Yes,Non engineered light timber,W+WLI/HEX:1+HFAPP:0.20,Sulawesi Tsunami (Palu) 2018,-0.892910841,119.8563315,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20light%20timber_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,4,
Yes,Non engineered masonry; un reinforced with clay brick; 1 storey,MUR+CLBRS/HEX:1+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.892359958,119.8659338,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%201%20storey_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,5,
Yes,Non engineered masonry; un reinforced with clay brick; 2 storey,MUR+CLBRS/HEX:2+HFAPP:0.30,Sulawesi Tsunami (Palu) 2018,-0.889841636,119.8750638,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL0; DL1; DL2+DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Non%20engineered%20masonry%2C%20un%20reinforced%20with%20clay%20brick%2C%202%20storey_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,6,
Yes,Masonry; unknown; 1 storey,M99/HEX:1+HFAPP:0.33,Sulawesi Tsunami (Palu) 2018,-0.875046458,119.8764018,4 Tier/Peiris 2006,"using ""logit"" link function",Model 1; DL1; DL2; DL3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Masonry%2C%20unknown%2C%201%20storey_Sulawesi%20Tsunami%202018_M1.csv,https://doi.org/10.1007/s00024-019-02254-9,7,
